Working_Unit,Age,ROC,ROC_up,ROC_dw,Peak,ageAD,Depth
-69--39,-54,0.24748279422154792,0.5229667625495115,0.07882826237932412,FALSE,2004,4.1872231837798815
-63--33,-48,0.23017290681898944,0.48226891135602934,0.08176901586436157,FALSE,1998,5.079477757062897
-57--27,-42,0.22801073490111137,0.4912359278276965,0.07912471162826523,FALSE,1992,5.9552416637859125
-51--21,-36,0.20234952288844615,0.453956457630875,0.0649971166224654,FALSE,1986,6.82674472063333
-45--15,-30,0.19365575784167044,0.44024024463310496,0.06365488510217224,FALSE,1980,7.697244267205815
-39--9,-24,0.18870824860681804,0.4227125266289539,0.06196638865000479,FALSE,1974,8.577302993648376
-33--3,-18,0.1922314950511465,0.4156771702700018,0.06878950234231748,FALSE,1968,9.462459259573075
-27-3,-12,0.20229601315347584,0.4435032094442078,0.0688514414879273,FALSE,1962,10.345928071490508
-21-9,-6,0.20521077552120537,0.4781761545969818,0.06210876610212901,FALSE,1956,11.226787462337876
-15-15,0,0.20513848058520603,0.46983174160612334,0.06144158045180915,FALSE,1950,12.10708768049423
-9-21,6,0.1905763561496234,0.46990703892035846,0.05550587493128146,FALSE,1944,12.985420055321962
-3-27,12,0.18909266041624065,0.47012434381791984,0.0559045291616905,FALSE,1938,13.861715659653468
3-33,18,0.1584235760963403,0.424079024856768,0.04740298714586115,FALSE,1932,14.718315242560505
9-39,24,0.141543270758887,0.3543510601781531,0.04481047534078217,FALSE,1926,15.568809356553789
15-45,30,0.14037763037274276,0.34852417647335565,0.04368559994044102,FALSE,1920,16.411159844951555
21-51,36,0.16494741150717146,0.4200503917095852,0.04550018510128859,FALSE,1914,17.24513583753144
27-57,42,0.1993317380782222,0.5048781273389991,0.05246307333364641,FALSE,1908,18.074635755206327
33-63,48,0.2633106827560181,0.5957714741849602,0.05638431770077834,FALSE,1902,18.888584239511253
39-69,54,0.29016422489301913,0.6193478826700394,0.0587504355195461,FALSE,1896,19.70017969037711
45-75,60,0.37153388498811246,0.6550003309567096,0.10949466236138353,FALSE,1890,20.48871776025836
51-81,66,0.3955856636440104,0.7106491478935976,0.0822398364194346,FALSE,1884,21.263747805718694
57-87,72,0.35887853381925616,0.6973906672123122,0.07664188726727891,FALSE,1878,22.01628759291805
63-93,78,0.3089315178140166,0.6816244683049584,0.07022286474149965,FALSE,1872,22.6962067083698
69-99,84,0.2831304944684891,0.6511634010974894,0.06349557349318355,FALSE,1866,23.35923924843949
75-105,90,0.35536018305221984,0.6585947726280349,0.07874184073449386,FALSE,1860,24.003090155989053
81-111,96,0.3181396053389963,0.6189595078488932,0.07623598921906015,FALSE,1854,24.595099480415932
87-117,102,0.33035110954028324,0.6357090638989964,0.0765717959392608,FALSE,1848,25.36075437855725
93-123,108,0.31605243960555446,0.6403939769331451,0.06827434229916336,FALSE,1842,25.733974128421316
99-129,114,0.2285397077824292,0.595618193394331,0.0533711222033943,FALSE,1836,26.421202625173738
105-135,120,0.1739913603065495,0.42814616339181194,0.04661732339815853,FALSE,1830,27.116452902485225
111-141,126,0.19947919967147604,0.5184629975060212,0.04954359149066847,FALSE,1824,27.853901794085612
117-147,132,0.2549809082841501,0.550510972034997,0.05786219396445608,FALSE,1818,28.603745037959456
123-153,138,0.2970719525318286,0.5648518767092968,0.06527246227338722,FALSE,1812,29.27249065230559
129-159,144,0.3413052629256225,0.5982943334327627,0.08325869908298245,FALSE,1806,29.92653421551295
135-165,150,0.3628573645352961,0.6104637741592757,0.149052706656934,FALSE,1800,30.616035004116227
141-171,156,0.29542794102262426,0.5899662534041706,0.02889759161752397,FALSE,1794,31.271453472313805
147-177,162,0.17567304524677146,0.5691019486317965,0.0255926956556697,FALSE,1788,31.82020526764963
153-183,168,0.14594368586824316,0.5344948381387475,0.02597819347272802,FALSE,1782,32.44906036886718
159-189,174,0.1961002633561082,0.7925460443370547,0.02647166228311621,FALSE,1776,33.10333335306353
165-195,180,0.39753178183656257,0.8539893370713936,0.03172252993258918,FALSE,1770,33.741540647735576
171-201,186,0.6291635118533732,1.0663097864194615,0.11312488466328272,FALSE,1764,34.30351387651638
177-207,192,0.699947759001275,1.108429384337835,0.1198495413528165,TRUE,1758,34.80671262809713
183-213,198,0.7315195290800125,1.097045799136641,0.26478367645665335,TRUE,1752,35.27650029825719
189-219,204,0.7395971136001098,1.1178350454501116,0.12013685428313604,TRUE,1746,35.5123761817674
195-225,210,0.6342222806261828,1.103794694072301,0.16323205379203,FALSE,1740,35.74825206527761
201-231,216,0.4418509384973113,0.9597012467914252,0.07883480025118161,FALSE,1734,36.137526604850905
207-237,222,0.40143274666933976,0.9747208002247478,0.0718418065831688,FALSE,1728,36.60704809135549
213-243,228,0.31172538021170426,0.7164321227416561,0.06767409746580724,FALSE,1722,37.079225561771
