Depth,Pinus sylvestris type,Pinus subgen. Haploxylon,Picea,Abies,Juniperus,Larix,Betula undiff.,Betula nana type,Alnus,Salix,Populus,Corylus type,Myrica type,Quercus,Acer,Tilia,Fagus,Ulmus,Fraxinus,Aesculus,Rhus type,cf. Ostrya,Viburnum,Sorbus group,Prunus type,Crataegus type,Lonicera xylosteum type,Vitis,Rhamnus type,Hippophae,Nyssa,Cornus sanguinea type,Rubus arcticus type,Cornus suecica type,Ribes alpinum type,Ephedra distachya type,Ephedra und.,Carpinus,Juglans,Carya,Tsuga,Myricaria type,Spirea type,Rosa type,Parthenocissus,Urtica,Cucurbitaceae,Rosaceae undiff.,Poaceae,Cerealia type,Aster type,Anthemis type,Artemisia,Ambrosia type,Cichoriaceae,Chenopodiaceae,Plantago major,Plantago media type,Plantago lanceolata type,Polygonum aviculare type,Helianthemum,Cistus/Fumana,Agrimonia,cf. Ornithogalum,Apiaceae,Pastinaca type,Eryngium,Ranunculus acris type,Geum type,Potentilla type,Brassicaceae,Sinapis type,Galium type,Caryophyllaceae,Stellaria holostea type,Silene type,Sagina type,Heliotropium,Veronica type,Astragalus type,Scrophularia type,Rumex acetosa type,Rumex cf. obtusifolius,Lotus type,Mentha type,Cirsium/Carduus,Vicia cracca type,Polemonium,Lythrum,Lysimachia,Gentiana pneumonanthe type,Epilobium,Thalictrum,Filipendula,Sanguisorba officinalis,Liliaceae,Persicaria,Persicaria amphibium type,Myuosotis type,Caltha type,Dryas type,Rubus chamemorus,Parnassia,Vaccinium group,cf. Ledum type,Calluna type,Arctostaphyllos alpinus type
23.25,23.5,2,20,37,9,0,111,11,115,1,1,82,67,5,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,48,0,1,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,15,0,20,0,0,0,0,0,0,0,0,71,42,6,0
23.75,23.5,1,7.5,26,7,0,93,7,117,0,0,88,58,7,2,0,2,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,44,0,42,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,21,0,17,0,0,0,0,0,0,0,0,78,30,4,0
24.25,25.5,2,16.5,44.5,9,0,93,8,117,1,1,79,67,3,2,0,2,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,36,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,14,0,16,0,0,0,0,0,0,2,0,77,28,3,0
24.75,19,2,19,38,8,0,107,5,94,1,0,88,75,6,1,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,39,0,39,0,1,1,1,2,2,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,20,0,25,0,0,0,0,0,0,3,0,76,33,3,0
25.25,20.5,0,15.5,28,10,0,96,10,91,0,0,90,73,13,0,0,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,28,0,39,1,1,1,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,13,0,20,0,0,0,0,0,0,2,0,78,20,4,0
25.75,19,1.5,21.5,39,8,0,97,6,99,0,0,62,86,7,1,0,1,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,29,0,44,0,0,1,2,0,0,0,3,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0,19,0,0,0,0,0,0,0,0,108,29,4,0
27.75,22,1,18.5,29.5,17,0,99,11,104,1,0,87,69,5,1,0,4,3,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,2,34,0,34,0,1,0,0,3,1,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,3,2,0,0,1,0,0,0,0,0,16,0,25,0,0,0,0,0,0,2,0,94,19,3,0
29.75,10.5,0,12.5,8.5,17,0,75,7,57,2,0,97,51,12,0,0,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,42,0,38,1,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,1,0,2,1,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,0,2,0,62,21,1,0
30.25,25.5,4,21.5,17.5,7,0,129,17,65,1,0,60,63,10,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,42,1,2,1,0,3,2,0,2,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,4,0,1,0,0,3,1,5,0,0,0,0,0,0,0,0,13,0,22,0,0,0,0,0,0,1,0,83,21,3,0
30.75,24.5,1,19.5,10,13,0,127,7,74,0,1,59,103,8,0,0,0,1,3,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,21,0,35,2,0,2,0,3,1,0,2,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,11,0,14,0,0,0,0,0,0,2,0,68,19,4,0
31.25,21.5,0.5,11.5,8,18,0,99,8,57,1,0,51,56,5,0,0,2,3,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,30,3,1,1,0,5,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,62,14,3,0
31.75,31.5,1,25.5,17.5,18,0,105,6,86,1,0,73,54,5,1,0,1,0,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,33,0,35,1,0,0,1,1,0,0,0,1,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,7,0,28,1,0,0,0,0,0,0,0,75,21,1,0
32.25,12,1,17,20.5,15,0,108,9,77,2,0,66,59,9,0,0,0,2,4,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,29,0,42,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9,0,13,0,0,0,0,0,0,2,0,56,28,2,0
32.75,17.5,1,20,29,10,0,149,6,60,0,0,65,82,7,0,0,3,3,4,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,29,0,43,0,1,1,0,1,0,0,1,0,0,0,0,0,6,0,0,1,0,8,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,17,1,18,0,0,0,0,0,0,1,0,71,26,2,0
33.25,25.5,3,32,12.5,12,0,127,7,101,2,0,128,59,16,0,0,1,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,34,0,45,1,2,4,2,1,0,0,0,0,0,0,0,0,5,1,0,1,1,4,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,25,0,1,0,0,0,0,0,0,52,26,9,0
33.75,12,4.5,36,13,7,0,125,1,70,1,0,154,46,21,1,1,1,4,3,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,1,1,0,72,20,3,0
34.25,33,3,34,16,11,0,135,0,76,0,0,90,61,14,3,0,1,2,4,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,45,1,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,1,21,0,0,0,0,0,0,1,1,84,11,17,0
34.75,17,2,21.5,10,21,0,132,1,66,0,0,103,38,16,3,0,1,0,1,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,37,3,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,4,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,20,2,15,0,0,0,0,0,0,2,0,73,6,22,0
35.25,24,1,19,7.5,12,0,130,5,21,0,0,63,29,8,0,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,21,0,31,2,1,1,0,0,0,2,0,0,0,0,0,0,3,1,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,10,1,13,0,0,0,0,0,0,1,0,40,10,25,0
35.75,51,3,31.5,8,29,0,196,3,40,0,0,94,64,15,2,0,5,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,1,36,2,1,3,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,12,5,26,0,0,0,0,1,0,2,0,45,16,45,0
36.25,21,2,20.5,9.5,10,0,124,1,29,2,0,67,45,17,0,0,4,1,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,0,2,0,0,2,0,0,0,0,1,0,0,0,8,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,19,0,0,0,0,0,0,2,0,45,19,12,0
36.75,28,0.5,24.5,9,14,0,181,10,53,0,0,103,58,21,0,0,5,3,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,41,1,0,1,0,5,0,0,0,0,0,0,0,0,16,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,13,1,36,0,1,0,0,0,0,0,0,48,24,47,0
37.25,27.5,6.5,47.5,12.5,15,0,193,6,60,1,0,103,64,15,2,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,43,1,3,1,0,3,0,0,0,0,1,1,0,0,12,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,14,3,15,0,0,0,1,0,0,4,0,86,25,27,0
37.75,24.5,8,13,2,19,0,136,15,50,2,0,72,55,12,2,0,3,4,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,30,0,37,2,1,0,1,1,0,1,0,0,1,0,0,0,8,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,11,1,16,0,0,0,0,0,0,3,0,59,33,21,0
38.25,16,4,19,3,26,0,151,12,59,0,0,90,47,16,1,1,3,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,3,37,2,2,2,1,1,2,0,0,0,0,0,0,0,8,0,0,3,0,3,0,0,1,0,0,0,0,1,0,0,0,11,0,1,0,0,0,1,0,0,0,0,9,0,21,0,0,1,0,0,0,0,0,66,30,29,0
